id,sex,race_ethnicity
1,male,hispanic
2,female,black_non_hispanic
3,female,white_non_hispanic
4,female,other_non_hispanic
5,male,white_non_hispanic
6,female,black_non_hispanic
7,female,other_non_hispanic
8,male,hispanic
9,male,white_non_hispanic
10,male,white_non_hispanic
11,female,other_non_hispanic
12,male,white_non_hispanic
13,female,white_non_hispanic
14,male,white_non_hispanic
15,male,white_non_hispanic
16,female,other_non_hispanic
17,female,white_non_hispanic
18,female,hispanic
19,female,white_non_hispanic
20,female,white_non_hispanic
21,male,white_non_hispanic
22,male,white_non_hispanic
23,male,white_non_hispanic
24,female,hispanic
25,female,hispanic
26,female,white_non_hispanic
27,female,black_non_hispanic
28,male,black_non_hispanic
29,female,white_non_hispanic
30,male,hispanic
31,male,hispanic
32,female,white_non_hispanic
33,female,hispanic
34,female,hispanic
35,male,white_non_hispanic
36,male,black_non_hispanic
37,female,white_non_hispanic
38,male,white_non_hispanic
39,female,black_non_hispanic
40,male,white_non_hispanic
41,male,white_non_hispanic
42,male,hispanic
43,female,white_non_hispanic
44,male,hispanic
45,male,white_non_hispanic
46,female,white_non_hispanic
47,female,white_non_hispanic
48,male,white_non_hispanic
49,male,white_non_hispanic
50,female,hispanic
51,female,black_non_hispanic
52,male,white_non_hispanic
53,male,white_non_hispanic
54,male,hispanic
55,female,other_non_hispanic
56,male,white_non_hispanic
57,female,white_non_hispanic
58,female,hispanic
59,male,white_non_hispanic
60,male,hispanic
61,female,white_non_hispanic
62,male,hispanic
63,female,white_non_hispanic
64,male,white_non_hispanic
65,female,other_non_hispanic
66,male,white_non_hispanic
67,male,hispanic
68,male,black_non_hispanic
69,male,white_non_hispanic
70,female,hispanic
71,male,other_non_hispanic
72,male,hispanic
73,female,other_non_hispanic
74,female,black_non_hispanic
75,female,white_non_hispanic
76,female,white_non_hispanic
77,female,white_non_hispanic
78,female,white_non_hispanic
79,female,other_non_hispanic
80,female,white_non_hispanic
81,female,black_non_hispanic
82,female,other_non_hispanic
83,female,other_non_hispanic
84,male,white_non_hispanic
85,female,hispanic
86,female,hispanic
87,male,other_non_hispanic
88,male,white_non_hispanic
89,male,white_non_hispanic
90,female,white_non_hispanic
91,female,white_non_hispanic
92,female,white_non_hispanic
93,female,white_non_hispanic
94,male,white_non_hispanic
95,male,hispanic
96,male,hispanic
97,female,white_non_hispanic
98,female,hispanic
99,female,black_non_hispanic
100,female,white_non_hispanic
101,female,black_non_hispanic
102,female,white_non_hispanic
103,male,other_non_hispanic
104,female,white_non_hispanic
105,female,white_non_hispanic
106,male,hispanic
107,male,white_non_hispanic
108,female,other_non_hispanic
109,female,white_non_hispanic
110,female,white_non_hispanic
111,female,other_non_hispanic
112,male,hispanic
113,male,white_non_hispanic
114,female,hispanic
115,female,white_non_hispanic
116,female,hispanic
117,female,white_non_hispanic
118,male,hispanic
119,male,hispanic
120,female,hispanic
121,female,white_non_hispanic
122,female,white_non_hispanic
123,male,hispanic
124,male,white_non_hispanic
125,male,other_non_hispanic
126,male,black_non_hispanic
127,male,white_non_hispanic
128,female,other_non_hispanic
129,male,white_non_hispanic
130,male,white_non_hispanic
131,male,black_non_hispanic
132,female,white_non_hispanic
133,female,hispanic
134,female,black_non_hispanic
135,male,black_non_hispanic
136,male,white_non_hispanic
137,male,white_non_hispanic
138,male,white_non_hispanic
139,male,white_non_hispanic
140,male,white_non_hispanic
141,male,white_non_hispanic
142,female,hispanic
143,male,white_non_hispanic
144,female,white_non_hispanic
145,male,black_non_hispanic
146,male,hispanic
147,female,white_non_hispanic
148,female,white_non_hispanic
149,male,hispanic
150,female,white_non_hispanic
151,male,white_non_hispanic
152,male,white_non_hispanic
153,male,hispanic
154,female,white_non_hispanic
155,female,hispanic
156,female,hispanic
157,male,white_non_hispanic
158,female,hispanic
159,male,white_non_hispanic
160,female,other_non_hispanic
161,female,white_non_hispanic
162,female,other_non_hispanic
163,male,hispanic
164,male,white_non_hispanic
165,male,white_non_hispanic
166,female,white_non_hispanic
167,male,white_non_hispanic
168,female,white_non_hispanic
169,female,other_non_hispanic
170,female,white_non_hispanic
171,male,hispanic
172,female,white_non_hispanic
173,male,other_non_hispanic
174,female,white_non_hispanic
175,male,hispanic
176,male,white_non_hispanic
177,female,hispanic
178,male,black_non_hispanic
179,female,white_non_hispanic
180,male,white_non_hispanic
181,male,white_non_hispanic
182,female,white_non_hispanic
183,female,white_non_hispanic
184,male,white_non_hispanic
185,male,white_non_hispanic
186,male,other_non_hispanic
187,male,white_non_hispanic
188,male,hispanic
189,male,white_non_hispanic
190,male,hispanic
191,male,hispanic
192,female,white_non_hispanic
193,female,white_non_hispanic
194,male,white_non_hispanic
195,male,white_non_hispanic
196,female,white_non_hispanic
197,male,black_non_hispanic
198,male,white_non_hispanic
199,female,hispanic
200,female,hispanic
201,male,hispanic
202,female,white_non_hispanic
203,male,white_non_hispanic
204,female,other_non_hispanic
205,male,white_non_hispanic
206,female,other_non_hispanic
207,male,white_non_hispanic
208,female,black_non_hispanic
209,male,white_non_hispanic
210,male,white_non_hispanic
211,male,hispanic
212,female,hispanic
213,male,black_non_hispanic
214,female,white_non_hispanic
215,female,black_non_hispanic
216,male,black_non_hispanic
217,female,white_non_hispanic
218,male,white_non_hispanic
219,female,black_non_hispanic
220,male,other_non_hispanic
221,female,white_non_hispanic
222,male,white_non_hispanic
223,male,white_non_hispanic
224,female,white_non_hispanic
225,female,white_non_hispanic
226,female,white_non_hispanic
227,male,hispanic
228,male,white_non_hispanic
229,female,white_non_hispanic
230,female,white_non_hispanic
231,female,white_non_hispanic
232,female,black_non_hispanic
233,male,white_non_hispanic
234,female,hispanic
235,female,white_non_hispanic
236,female,hispanic
237,female,white_non_hispanic
238,female,white_non_hispanic
239,male,hispanic
240,female,other_non_hispanic
241,female,hispanic
242,male,white_non_hispanic
243,male,white_non_hispanic
244,female,white_non_hispanic
245,female,white_non_hispanic
246,male,hispanic
247,female,hispanic
248,female,white_non_hispanic
249,male,white_non_hispanic
250,female,hispanic
251,male,white_non_hispanic
252,female,black_non_hispanic
253,female,hispanic
254,male,white_non_hispanic
255,female,hispanic
256,male,white_non_hispanic
257,female,black_non_hispanic
258,female,white_non_hispanic
259,female,white_non_hispanic
260,female,other_non_hispanic
261,female,white_non_hispanic
262,female,white_non_hispanic
263,female,hispanic
264,female,black_non_hispanic
265,male,black_non_hispanic
266,male,white_non_hispanic
267,male,white_non_hispanic
268,male,hispanic
269,male,white_non_hispanic
270,female,hispanic
271,male,white_non_hispanic
272,male,other_non_hispanic
273,male,white_non_hispanic
274,male,other_non_hispanic
275,female,white_non_hispanic
276,male,white_non_hispanic
277,female,white_non_hispanic
278,male,white_non_hispanic
279,female,white_non_hispanic
280,female,white_non_hispanic
281,male,white_non_hispanic
282,male,white_non_hispanic
283,male,white_non_hispanic
284,male,white_non_hispanic
285,male,hispanic
286,male,white_non_hispanic
287,female,other_non_hispanic
288,female,hispanic
289,male,white_non_hispanic
290,male,white_non_hispanic
291,male,black_non_hispanic
